Company Name,Category,Phone,Review Snippet,Website URL,Discovery Analysis,Generated Pitch
Boka Eats Ltd,Manufacturer,0719 833700,"""They are the only banana processing plant in kisii""",None Found,,
Basco Products (K) Ltd(Duracoat Home Solutions)-Kisii,Paint manufacturer,0705 136740,"""Unique and quality products.""",None Found,,
Nyams Poultry Farm,Poultry farm,0724 618790,"""In kisii country""",None Found,,
Royal Mabati Factory Kisii Branch,Manufacturer,0740 049846,,None Found,,
Spirax mechants Ltd kisii,Pump supplier,0723 610029,"""Many varieties and qualities to suit your pocket and taste.""",None Found,,
GRANDMARK FUNITURE HUB KISII,Furniture maker,0797 089048,,None Found,,
Caps wholesale kisii,Wholesaler,0745 695578,,None Found,,
"Kenya Seed Company Limited, Kisii branch",Seed supplier,0722 898061,"""It was a short work experience but it was great.""",http://www.kenyaseed.com/,,
Kisii Bottlers Ltd,Soft drinks shop,058 2031984,,None Found,,
CHINA NDOGO FARM MACHINERY & ALL BUILDING MATERIALS KISII,Machine shop,0728 091709,,None Found,,
Bansi wholesalers ltd,Wholesale food store,,,None Found,,
Gillycraft Furniture Industries,Furniture maker,0110 349515,On-site services,None Found,,
Chloride Exide Kenya Limited - Kisii Branch,Battery manufacturer,0719 080000,"""Affordable prices""",http://www.chlorideexide.com/,,
ENDROOF MABATI,Manufacturer,0705 333444,,https://www.ruirumabatifactory.com/,,
CHINA NDOGO ELECTRONICS & ELECTRICALS KISII,Electronics store,0762 210115,"""Good customer service, and they deliver on time""",https://www.facebook.com/share/1BULTRoGXk/,,
OG stores limited,Metal industry suppliers,0792 109965,,None Found,,
Mabati Rolling Mills Ltd. Kisii,Roofing supply store,0718 215659,"""Quality products, great value for your money""",https://mabati.com/,,
Jaokemwa Enterprises Kisii,Welding supply store,0713 715640,Delivery,None Found,,
Mervyn Solution,Furniture maker,0722 295407,,None Found,,
Gusii Water and Sanitation Company Limited(Town Office),Sewage treatment plant,020 8029088,,None Found,,
MkulimaSharp Limited,Agricultural production,0704 441628,"""I can get you their location the next time i go there.""",https://www.mkulimasharp.com/,,
Aberdare Technologies Limited Kisii,Seed supplier,0725 861444,,None Found,,
Kisii Wine Agencies,Alcoholic beverage wholesaler,,"""Nice place to shop""",None Found,,
Kisii university water plant,Manufacturer,,,None Found,,
Gilani's Distributors Ltd Kisii Warehouse,FMCG goods wholesaler,020 5135001,,http://gilanisdistributors.com/,,
dougy farm,Poultry farm,0729 859433,,None Found,,
Sun king Shop Kisii,Solar energy company,0780 254086,,http://greenlightplanet.com/,,
"JUKEBOX TECHNOLOGIES laptops, computers, printers & accessories Kisii",Computer store,0726 672628,"""An amazing company that gives quality machines""",http://www.jukeboxtechnologies.co.ke/,,
Stans Agrovet Distributors,Agrochemicals supplier,0729 972469,,None Found,,
CM Furniture and Interior Designs,Furniture manufacturer,0768 894239,,https://www.cmfurnitureandinteriordesigns.com/,,
Kisii Market,Farmers' market,,"""It offers fresh and natural food products at quite an affordable price.""",None Found,,
Eedi Kenya Ltd,Distribution service,058 2030916,"""It's a reliable distributor for fast moving consumer goods""",None Found,,
PROTEIN Valley (Butchery/Milk Bar),Butcher shop,0100 966755,"""Serving Pure Milk 😋 and the Meat too is Nice.""",None Found,,
Ouru Superstores Ltd,Distribution service,0726 734332,"""Recommended for wholesale and retail customers since prices are fair""",None Found,,
Aquarech Kisii,Butcher shop,0796 491166,Delivery,http://www.aquarech.com/,,
Wefahson Limited,Food processing company,0721 345782,,None Found,,
Nyabo Poultry Faming,Poultry farm,0711 479159,,None Found,,
Kisii town Slaughter House,Butcher shop,,"""Lovely Service for all your roofing needs""",None Found,,
Pork Point,Butcher shop,,"""Nice place and good place for port meet with very reasonable price.""",None Found,,
sojpar LTD,Wholesaler,,,None Found,,
Kisii Wines Express,Wine wholesaler and importer,0724 644840,,None Found,,
Print solutions,Print shop,0721 877978,"""Best services, charming and welcoming workers, keep up good work""",http://kisiiprinters.com/?fbclid=PAAaauP_dVJUcnV4uu4a3MZO8xmztRvepLOxTGHN3R0Z5c6Z7zQ9SQj9Zwm2A,,
Kisii Banana Processing Plant,Corporate office,,,None Found,,
TIESOI ELECTRONICS KISII,Electronics wholesaler,0717 678851,,https://www.finda.co.ke/Category_Item_Info/045ELSTIESOIELECTRONICSANDELECTRICALS,,
Nyangarora Banana Processors,Food processing company,,,None Found,,
KISII PRISONS SHOW ROOM,Furniture manufacturer,,,None Found,,
Jackimo,Food processing company,0723 424335,,None Found,,
Kisii Highway,Electronics wholesaler,0720 599126,,None Found,,
NIMCITY ENTERPRISES,Store,0706 745481,"""awesome did you know they also do branding and website development""",None Found,,
Kericho Stylex Ltd kisii,Business administration service,0725 291010,"""Make sure you have access to the place""",None Found,,
Crown Paints Distributor-Kisii Jumbo Hardware Ltd,Manufacturer,0703 333777,,None Found,,
Kisii chicks,Poultry farm,0726 811323,,None Found,,
Poultry zone,Poultry farm,0791 994058,,None Found,,
Millano Poultry Farm Kenya,Poultry farm,0741 100022,,None Found,,
Motherland poshomill,Flour mill,0728 666358,,None Found,,
meshmayaenterprises,Poultry farm,0723 100632,,https://meshmayaenterprises.com/,,
Josemo Agrovet,Agrochemicals supplier,0702 102066,,http://www.josemo.co.ke/,,
OURU SUPERSTORES L.T.D,Wholesaler,0731 100149,,None Found,,
Kisii Discount Store,Hardware store,,"""It's a place where shop items are sold in wholesale prices""",None Found,,
ATL Kisii Nursery,Seed supplier,0725 861444,,None Found,,
Goodlife Pharmacy Kisii,Pharmacy,0741 949154,Delivery,http://goodlife.co.ke/,,
Jomolly Enterprises,Food products supplier,0717 056179,,None Found,,
Inkah solutions,Print shop,0717 432314,"""Best quality service @ an affordable price""",None Found,,
Niftecs,Software company,0703 337559,"""Services offered also include business automation and ict consultancy.""",https://niftecs.co.ke/,,
Goshen Jema Agribusiness,Agricultural production,,,None Found,,
Pm Investment Kisii Kisii,Electronics wholesaler,0702 081630,,None Found,,
Panda Mabati Kisii,Corporate office,0751 484030,"""Great discount""",https://www.ruirumabatifactory.com/,,
The Favor Garment Centre Kisii,Clothing wholesaler,0725 649965,,None Found,,
"Paramount Glassmart Limited, Kisii",Glassware wholesaler,0713 974965,,None Found,,
Dimlay And Co. Ltd,Building materials store,0711 407103,Delivery,None Found,,
Cardinal Colours Ltd,Uniform store,0712 000555,"""Embroidery solutions""",http://www.cardinalcolours.co.ke/,,
Tripple e electronics,Electronics store,0720 310183,"""Nice discounts they give""",https://www.finda.co.ke/Category_Item_Info/045ELSTRIPPLEEELECTRONICSANDCOMPUTERCENTRE,,
ONE TOUCH SUPPLIES LTD,Motorcycle parts store,0715 030515,Delivery,None Found,,
SAMSON MAKORI,Propane supplier,0755 137090,,None Found,,
Kisii Agricultural Training Center (KATC),College of agriculture,0726 305240,"""Best place to get knowledge about farming""",None Found,,
piamotex enterprises,Screen printing shop,0748 918777,,None Found,,
Kisumu Concrete Products Kisii Branch,Construction material wholesaler,0723 731408,,None Found,,
Mahitaji Suppliers,Home goods store,,Delivery,None Found,,
ZIFENG,Construction equipment supplier,0703 242585,,None Found,,
Mko Kenya Ltd,Restaurant,,"""Incredibly de best""",None Found,,
UNEX CHAIN STORES COMPANY LIMITED,Wholesaler,0718 810734,,None Found,,
Kisii University School of Agriculture,College of agriculture,,"""Social helpful lecturers and students""",None Found,,
